emelet,energia_tanusitvany,dohanyzas,tajolas,min_berleti_ido,gepesitett,parkolo_dij,belmagassag,kilatas,tetoteri,akadalymentesitett,epites_ev,epulet_szintjei,lift,butorozott,floorspace,parkolas,price,erkely,kertkapcsolatos,n_rooms,futes,position,komfort,legkondicio,furdo_wc,kisallat,koltozheto,rezsikoltseg,Ingatlan_allapota
2,nincs megadva,nem megengedett,nincs megadva,1 év ,nincs megadva,,nincs megadva,utcai,nem tetőtéri,nincs megadva,,3,nincs,igen,1 szoba,"utca, közterület - ingyenes",85 000 Ft,4 m²,nem,32 m²,gáz (konvektor),"14. kerület, Stefánia út",komfortos,,nincs megadva,nem hozható,Azonnal,nincs megadva,jó állapotú
1,nincs megadva,nem megengedett,észak,nincs,igen,,3 m vagy magasabb,utcai,nem tetőtéri,nem,,3,nincs,igen,1 szoba,"utca, közterület - fizetős övezet",85 000 Ft,,nem,30 m²,elektromos,"2. kerület, Lukács utca",összkomfortos,nincs,egy helyiségben,nem hozható,,25 000 Ft/hó,felújított
2,nincs megadva,nincs megadva,nincs megadva,1 év ,nincs megadva,,nincs megadva,utcai,nem tetőtéri,nincs megadva,,nincs megadva,van,nincs megadva,1 szoba,"utca, közterület - fizetős övezet",110 000 Ft,,nincs megadva,32 m²,házközponti egyedi méréssel,"13. kerület, Pannónia utca",összkomfortos,,egy helyiségben,nincs megadva,Azonnal,25 000 Ft/hó,felújított
nincs megadva,nincs megadva,nincs megadva,nincs megadva,nincs,nincs megadva,,nincs megadva,nincs megadva,nem tetőtéri,nincs megadva,,2,nincs,igen,1 + fél szoba,"utca, közterület",110 000 Ft,,nem,43 m²,házközponti egyedi méréssel,"4. kerület, Görgey Artúr utca",nincs megadva,nincs,egy helyiségben,nincs megadva,Azonnal,nincs megadva,újszerű
félemelet,nincs megadva,nincs megadva,nincs megadva,nincs,nincs megadva,,3 m-nél alacsonyabb,utcai,nincs megadva,nincs megadva,1950-1980 között,3,nincs megadva,nincs megadva,1 szoba,"utca, közterület",120 000 Ft,,nincs megadva,34 m²,gáz (konvektor),"3. kerület, Gyenes utca",nincs megadva,,külön helyiségben,nincs megadva,Azonnal,nincs megadva,közepes állapotú
félemelet,nincs megadva,nincs megadva,nyugat,nincs,nincs megadva,,3 m-nél alacsonyabb,utcai,nem tetőtéri,nincs megadva,,5,van,részben bútorozott,1 + fél szoba,"utca, közterület - fizetős övezet",125 000 Ft,,igen,54 m²,távfűtés,"13. kerület, Kresz Géza utca",összkomfortos,nincs,külön helyiségben,nincs megadva,Azonnal,30 000 Ft/hó,újszerű
3,nincs megadva,nem megengedett,nincs megadva,nincs,igen,,nincs megadva,utcai,nem tetőtéri,nincs megadva,,4,nincs,igen,1 szoba,nincs megadva,99 900 Ft,,nincs megadva,45 m²,gáz (konvektor),"7. kerület, Thököly út 19.",összkomfortos,,külön helyiségben,nincs megadva,,nincs megadva,felújított
3,nincs megadva,nincs megadva,nincs megadva,nincs,igen,,nincs megadva,udvari,nincs megadva,nem,,3,nincs,megegyezés szerint,1 szoba,"utca, közterület",100 000 Ft,,nincs megadva,32 m²,gáz (konvektor),"6. kerület, Szondi utca",összkomfortos,nincs,egy helyiségben,nincs megadva,Azonnal,15 000 Ft/hó,jó állapotú
1,nincs megadva,nem megengedett,dél,1 év ,igen,,3 m-nél alacsonyabb,kertre néző,nincs megadva,igen,,nincs megadva,van,igen,1 szoba,"utca, közterület - ingyenes",125 000 Ft,5 m²,nincs megadva,42 m²,nincs megadva,"13. kerület, Üteg utca",összkomfortos,,egy helyiségben,nem hozható,,nincs megadva,újszerű
2,nincs megadva,nincs megadva,nincs megadva,1 év ,igen,,3 m vagy magasabb,utcai,nincs megadva,nincs megadva,,4,nincs,nem,2 szoba,"utca, közterület - fizetős övezet",110 000 Ft,,nincs megadva,48 m²,gáz (konvektor),"8. kerület, Népszínház utca 51.",összkomfortos,,külön helyiségben,hozható,Azonnal,29 000 Ft/hó,felújított
